customer_feedback,tenure,MonthlyCharges,Churn
Stable and affordable service throughout my tenure.,7,29.8,0
Partner and dependents also satisfied with the plan.,17,20.5,0
Monthly charges are reasonable for the service.,8,60.9,0
Good monthly rates and easy-to-understand billing.,56,73.25,0
Monthly charges are inconsistent and unpredictable.,8,100.3,1
Monthly charges are inconsistent and unpredictable.,7,19.25,1
Happy with the package offered for my household.,3,20.85,0
Tenure discounts made staying with this provider easy.,71,77.35,0
Frequent billing issues make the service frustrating.,2,96.0,1
Support team rarely resolves issues in one call.,1,90.55,1
Tech support was very helpful when I needed assistance.,49,93.85,0
Online security features have given me peace of mind.,58,70.1,0
Online security seems inadequate compared to others.,44,30.35,1
Smooth billing system with paperless convenience.,59,75.95,0
Frequent outages even after being a long-term customer.,71,108.05,1
Frequent network issues during peak usage.,1,69.9,1
Monthly charges are reasonable for the service.,11,75.25,0
Support team rarely resolves issues in one call.,62,103.75,1
"Helpful tech support, available when needed.",35,54.95,0
Easy setup and reliable network with no drops.,20,19.5,0
Happy with the consistent service over the years.,40,19.6,0
Tech support was very helpful when I needed assistance.,39,47.85,0
The online security features feel minimal.,1,86.6,1
Paperless billing is convenient and eco-friendly.,72,23.75,0
Contract terms do not accommodate long-term customers.,33,80.6,1
Online security features have given me peace of mind.,12,43.8,0
Reliable monthly charges and no unexpected fees.,1,19.75,0
Tech support was very helpful when I needed assistance.,27,19.15,0
Flexible contract terms suit my needs perfectly.,34,19.6,0
Smooth billing system with paperless convenience.,56,80.3,0
The partner-friendly plans fit our budget well.,58,24.35,0
Partnered plan has been cost-effective and reliable.,22,25.25,0
Great service with no interruptions during my tenure.,10,26.1,0
Satisfied with the support offered by tech specialists.,13,20.0,0
Monthly charges feel high for the service provided.,35,85.3,1
Tenure discounts were not applied as promised.,34,70.0,1
Monthly charges are inconsistent and unpredictable.,4,94.3,1
Online security features keep my data safe.,72,20.7,0
Online security features have given me peace of mind.,2,70.3,0
Monthly charges are inconsistent and unpredictable.,7,95.35,1
Billing statements are often unclear or incorrect.,27,75.5,1
Smooth billing system with paperless convenience.,4,69.55,0
Tenure discounts made staying with this provider easy.,37,19.85,0
Tenure discounts make the service worth it.,21,20.0,0
Easy setup and reliable network with no drops.,53,95.85,0
Online security seems inadequate compared to others.,18,90.1,1
Technical support often leaves issues unresolved.,2,68.95,1
Contract terms feel rigid and hard to adjust.,32,99.55,1
The partner-friendly plans fit our budget well.,23,20.75,0
Good monthly rates and easy-to-understand billing.,3,50.15,0
Partner and dependents also satisfied with the plan.,71,58.65,0
Billing is seamless with paperless billing.,9,95.9,0
Dependents find the network reliable and fast.,1,49.5,0
Frequent network issues during peak usage.,18,57.45,1
Partnered plan lacks sufficient network stability.,12,53.65,1
Happy with the package offered for my household.,71,80.1,0
Happy with the package offered for my household.,64,24.4,0
Clear billing process with no surprise charges.,4,40.05,0
Good monthly rates and easy-to-understand billing.,23,19.5,0
Smooth billing system with paperless convenience.,39,51.05,0
Flexible contract terms suit my needs perfectly.,28,54.35,0
Online security features keep my data safe.,5,84.7,0
Partnered plan has been cost-effective and reliable.,45,86.1,0
Happy with the package offered for my household.,37,70.35,0
Paperless billing is convenient and eco-friendly.,60,110.0,0
Online security lags compared to competitors.,8,100.6,1
"Helpful tech support, available when needed.",47,94.9,0
Online security lags compared to competitors.,26,83.75,1
Tech support rarely resolves issues promptly.,3,88.3,1
The tech support team is quick and professional.,50,69.75,0
Great experience with minimal downtime.,27,71.6,0
Partnered plan does not seem cost-effective anymore.,8,92.1,1
Clear billing process with no surprise charges.,62,23.65,0
Smooth billing system with paperless convenience.,71,81.85,0
The support team made the setup process smooth.,66,25.1,0
Partner and dependents also satisfied with the plan.,68,114.7,0
The support team made the setup process smooth.,13,49.15,0
The partner-friendly plans fit our budget well.,56,80.9,0
Partnered plan does not seem cost-effective anymore.,38,79.45,1
High charges without any added benefits.,14,90.45,1
Flexible contract terms suit my needs perfectly.,16,19.3,0
Tenure discounts make the service worth it.,14,70.2,0
Frequent network issues during peak usage.,32,69.75,1
Enjoying affordable rates and stable monthly charges.,8,54.25,0
Stable and affordable service throughout my tenure.,43,99.3,0
The support team made the setup process smooth.,52,74.0,0
Reliable monthly charges and no unexpected fees.,3,50.25,0
Tech support was very helpful when I needed assistance.,29,19.8,0
Paperless billing errors are too common.,1,19.65,1
Monthly billing errors are a common occurrence.,12,43.65,1
Dependents also use the service with no issues.,16,35.5,0
Stable and affordable service throughout my tenure.,40,80.75,0
Tech support is not helpful during peak times.,5,39.5,1
Monthly charges have unexpected increases frequently.,40,97.1,1
Tech support was very helpful when I needed assistance.,36,19.55,0
Partnered plan lacks sufficient network stability.,5,80.0,1
Tech support often fails to resolve issues effectively.,10,84.7,1
Tech support often fails to resolve issues effectively.,2,89.55,1
Partnered plan lacks sufficient network stability.,23,90.6,1
Online security is a great added feature.,26,20.05,0
Flexible contract terms suit my needs perfectly.,72,112.4,0
Partner and dependents also satisfied with the plan.,34,50.2,0
Paperless billing is convenient and eco-friendly.,10,62.25,0
Smooth billing system with paperless convenience.,14,55.7,0
Online security lags compared to competitors.,23,90.05,1
I appreciate the flexible contract options.,47,19.65,0
Dependents also use the service with no issues.,24,89.25,0
Dependents face frequent network drops.,49,99.05,1
Happy with the consistent service over the years.,20,54.0,0
Technical support often leaves issues unresolved.,2,69.75,1
Tech support rarely resolves issues promptly.,2,49.05,1
The support team made the setup process smooth.,22,56.75,0
Monthly charges have unexpected increases frequently.,7,98.05,1
Monthly charges are reasonable for the service.,1,21.1,0
Happy with the package offered for my household.,59,96.65,0
Online security features have given me peace of mind.,58,24.5,0
Partnered plan lacks sufficient network stability.,41,114.5,1
Online security features meet my needs well.,59,79.2,0
Reliable monthly charges and no unexpected fees.,3,69.55,0
Enjoying good service quality over the years.,32,20.05,0
Tech support was very helpful when I needed assistance.,46,98.85,0
Tenure discounts made staying with this provider easy.,0,25.75,0
Tenure discounts were not applied as promised.,2,80.95,1
Tech support has been quick and effective every time.,52,19.6,0
Monthly billing errors are a common occurrence.,13,74.3,1
Monthly charges have unexpected increases frequently.,11,89.7,1
Stable and affordable service throughout my tenure.,32,87.65,0
Online security seems inadequate compared to others.,17,100.45,1
Partner and dependents also satisfied with the plan.,16,74.75,0
Smooth billing system with paperless convenience.,51,107.45,0
Clear billing process with no surprise charges.,29,75.35,0
Partnered plan has been cost-effective and reliable.,70,64.95,0
Flexible contracts that fit my lifestyle.,71,100.45,0
Stable and affordable service throughout my tenure.,41,68.5,0
Tenure discounts made staying with this provider easy.,1,80.55,0
Happy with the package offered for my household.,7,81.25,0
Monthly charges have unexpected increases frequently.,25,90.4,1
Smooth billing system with paperless convenience.,67,89.55,0
The partner-friendly plans fit our budget well.,5,55.7,0
Paperless billing is convenient and eco-friendly.,15,24.8,0
Dependents find the network reliable and fast.,20,20.0,0
Dependents complain of frequent disconnections.,3,56.15,1
Satisfied with the support offered by tech specialists.,54,105.2,0
Enjoying affordable rates and stable monthly charges.,42,19.55,0
Easy setup and reliable network with no drops.,9,79.75,0
Tenure discounts made staying with this provider easy.,63,97.45,0
The partner-friendly plans fit our budget well.,69,24.25,0
Billing is seamless with paperless billing.,69,24.6,0
Online security is a great added feature.,40,50.15,0
Tech support has been quick and effective every time.,60,39.6,0
Billing statements are often unclear or incorrect.,4,94.4,1
Flexible contracts that fit my lifestyle.,71,89.85,0
Service quality drops significantly during peak hours.,37,78.95,1
Reliable monthly charges and no unexpected fees.,32,98.85,0
Good monthly rates and easy-to-understand billing.,39,53.85,0
Enjoying affordable rates and stable monthly charges.,38,24.25,0
Great experience with minimal downtime.,52,89.45,0
Dependents find the network reliable and fast.,48,105.25,0
Good monthly rates and easy-to-understand billing.,70,59.5,0
The tech support team is quick and professional.,20,70.55,0
Tech support has been quick and effective every time.,50,82.5,0
Tech support often fails to resolve issues effectively.,19,44.85,1
Partnered plan has been cost-effective and reliable.,25,61.6,0
Enjoying affordable rates and stable monthly charges.,12,49.05,0
Monthly charges feel high for the service provided.,39,105.65,1
Tech support rarely resolves issues promptly.,7,74.65,1
Tenure discounts make the service worth it.,23,66.25,0
Tech support has been quick and effective every time.,27,19.4,0
The support team made the setup process smooth.,47,86.05,0
Flexible contracts that fit my lifestyle.,26,19.15,0
Tech support is not helpful during peak times.,14,64.7,1
Paperless billing errors are too common.,11,104.05,1
Happy with the consistent service over the years.,2,19.25,0
"Helpful tech support, available when needed.",26,81.95,0
Great experience with minimal downtime.,72,114.65,0
Enjoying affordable rates and stable monthly charges.,63,20.0,0
Happy with the package offered for my household.,71,19.8,0
The partner-friendly plans fit our budget well.,11,65.15,0
Billing is seamless with paperless billing.,14,19.65,0
Paperless billing is convenient and eco-friendly.,13,88.95,0
The partner-friendly plans fit our budget well.,6,20.2,0
Dependents also use the service with no issues.,11,75.2,0
Satisfied with the support offered by tech specialists.,18,56.8,0
Partner and dependents also dissatisfied with service.,1,35.55,1
The tech support team is quick and professional.,32,75.5,0
Satisfied with the support offered by tech specialists.,29,35.6,0
Paperless billing is convenient and eco-friendly.,3,60.25,0
Contract renewal terms lack flexibility.,2,95.15,1
Partnered plan does not seem cost-effective anymore.,13,96.65,1
Paperless billing is convenient and eco-friendly.,41,40.35,0
Reliable monthly charges and no unexpected fees.,1,18.85,0
Stable and affordable service throughout my tenure.,7,54.85,0
Dependents also use the service with no issues.,52,64.3,0
Online security features have given me peace of mind.,45,24.65,0
The partner-friendly plans fit our budget well.,70,76.1,0
Clear billing process with no surprise charges.,53,18.7,0
I appreciate the flexible contract options.,62,97.95,0
Monthly charges are reasonable for the service.,60,94.1,0
Monthly charges are inconsistent and unpredictable.,3,80.4,1
Dependents find the network reliable and fast.,23,95.1,0
Tenure discounts were not applied as promised.,1,31.35,1
Partnered plan has been cost-effective and reliable.,67,72.35,0
Paperless billing fails to capture accurate details.,12,89.75,1
Billing is seamless with paperless billing.,71,82.7,0
Online security is a great added feature.,25,19.9,0
"Helpful tech support, available when needed.",5,53.8,0
Smooth billing system with paperless convenience.,26,51.55,0
Tech support has been quick and effective every time.,1,19.65,0
Online security features keep my data safe.,70,44.05,0
Paperless billing is convenient and eco-friendly.,72,114.0,0
High charges without any added benefits.,60,94.4,1
Great experience with minimal downtime.,32,100.4,0
Contract terms feel rigid and hard to adjust.,1,19.85,1
Online security features keep my data safe.,14,54.25,0
Flexible contract terms suit my needs perfectly.,13,80.0,0
Partner and dependents also dissatisfied with service.,6,109.9,1
Stable and affordable service throughout my tenure.,46,79.2,0
Tenure discounts were not applied as promised.,15,101.35,1
Easy setup and reliable network with no drops.,43,94.3,0
Partner and dependents also satisfied with the plan.,39,49.8,0
Partnered plan lacks sufficient network stability.,21,60.05,1
The tech support team is quick and professional.,57,53.75,0
Tenure discounts made staying with this provider easy.,53,93.45,0
Tech support was very helpful when I needed assistance.,18,87.9,0
Issues with online security features persisting.,1,60.15,1
Tenure discounts made staying with this provider easy.,58,61.05,0
Partner and dependents also satisfied with the plan.,71,104.05,0
Happy with the package offered for my household.,35,99.25,0
Easy setup and reliable network with no drops.,3,85.7,0
Billing is seamless with paperless billing.,38,104.85,0
Tech support has been quick and effective every time.,35,69.15,0
The online security features feel minimal.,7,90.45,1
Partner and dependents also satisfied with the plan.,47,74.45,0
Tech support has been quick and effective every time.,14,50.45,0
Flexible contract terms suit my needs perfectly.,20,60.0,0
Billing is seamless with paperless billing.,66,85.25,0
Dependents find the network reliable and fast.,15,19.45,0
Clear billing process with no surprise charges.,42,20.75,0
Flexible contracts that fit my lifestyle.,17,78.9,0
Tech support has been quick and effective every time.,37,104.5,0
Online security is a great added feature.,12,49.4,0
The billing system is often confusing and inaccurate.,53,94.25,1
Enjoying good service quality over the years.,60,25.0,0
Partner and dependents also satisfied with the plan.,18,25.55,0
Frequent contract changes without notice.,1,74.9,1
Great experience with minimal downtime.,3,70.15,0
Online security features have given me peace of mind.,9,69.4,0
Tech support is not helpful during peak times.,1,80.25,1
Happy with the consistent service over the years.,56,93.15,0
Partner and dependents also dissatisfied with service.,17,69.0,1
Service quality drops significantly during peak hours.,11,66.35,1
Online security features keep my data safe.,7,69.55,0
Dependents find the network reliable and fast.,69,20.2,0
Tech support is not helpful during peak times.,19,86.0,1
Support team rarely resolves issues in one call.,3,80.3,1
Easy setup and reliable network with no drops.,54,20.4,0
Smooth billing system with paperless convenience.,62,23.75,0
Partner and dependents also dissatisfied with service.,24,90.55,1
Reliable monthly charges and no unexpected fees.,62,70.45,0
Smooth billing system with paperless convenience.,17,65.75,0
Online security is a great added feature.,9,24.6,0
Flexible contracts that fit my lifestyle.,64,69.25,0
Contract terms do not accommodate long-term customers.,2,75.9,1
The online security features feel minimal.,1,45.85,1
Technical support often leaves issues unresolved.,16,49.95,1
The partner-friendly plans fit our budget well.,72,24.65,0
Happy with the consistent service over the years.,30,90.4,0
The support team made the setup process smooth.,49,100.85,0
Tech support was very helpful when I needed assistance.,61,75.35,0
Dependents find the network reliable and fast.,47,87.2,0
Dependents find the network reliable and fast.,20,64.4,0
Contract terms do not accommodate long-term customers.,34,78.3,1
Tech support was very helpful when I needed assistance.,70,24.7,0
Monthly charges are reasonable for the service.,54,105.85,0
Online security features have given me peace of mind.,61,98.3,0
Tech support rarely resolves issues promptly.,3,76.95,1
Great service with no interruptions during my tenure.,13,19.45,0
Partnered plan does not seem cost-effective anymore.,16,96.15,1
Online security features keep my data safe.,3,58.7,0
Online security is a great added feature.,25,20.15,0
Clear billing process with no surprise charges.,30,64.5,0
Partner and dependents also satisfied with the plan.,21,28.5,0
Monthly billing errors are a common occurrence.,1,45.3,1
Tech support often fails to resolve issues effectively.,15,19.4,1
Satisfied with the support offered by tech specialists.,23,90.45,0
The partner-friendly plans fit our budget well.,45,105.15,0
Online security features meet my needs well.,24,83.15,0
Frequent billing issues make the service frustrating.,11,90.15,1
Contract terms feel rigid and hard to adjust.,1,45.05,1
Great experience with minimal downtime.,56,103.2,0
Dependents face frequent network drops.,1,75.8,1
Enjoying affordable rates and stable monthly charges.,1,19.45,0
Technical support often leaves issues unresolved.,7,79.3,1
Billing is seamless with paperless billing.,55,88.8,0
Online security lags compared to competitors.,2,30.9,1
Tenure discounts made staying with this provider easy.,72,85.9,0
Enjoying affordable rates and stable monthly charges.,45,34.2,0
Paperless billing is convenient and eco-friendly.,47,20.15,0
Frequent contract changes without notice.,46,95.25,1
I appreciate the flexible contract options.,2,50.3,0
Dependents also use the service with no issues.,2,80.15,0
Reliable monthly charges and no unexpected fees.,12,51.25,0
The online security features feel minimal.,68,89.6,1
Reliable monthly charges and no unexpected fees.,69,95.2,0
Enjoying good service quality over the years.,56,94.8,0
Online security features meet my needs well.,4,80.25,0
The support team made the setup process smooth.,64,76.1,0
High charges without any added benefits.,59,110.15,1
Partnered plan has been cost-effective and reliable.,62,115.55,0
Enjoying affordable rates and stable monthly charges.,63,24.65,0
Satisfied with the support offered by tech specialists.,53,53.6,0
Happy with the package offered for my household.,5,19.45,0
Easy setup and reliable network with no drops.,49,88.2,0
Stable and affordable service throughout my tenure.,62,101.15,0
Tech support has been quick and effective every time.,55,56.8,0
Clear billing process with no surprise charges.,71,99.4,0
Billing is seamless with paperless billing.,72,20.1,0
Dependents find the network reliable and fast.,36,60.7,0
Online security features have given me peace of mind.,25,20.95,0
Partnered plan has been cost-effective and reliable.,72,114.85,0
Dependents also use the service with no issues.,36,19.25,0
Enjoying affordable rates and stable monthly charges.,1,62.8,0
Clear billing process with no surprise charges.,72,105.5,0
Clear billing process with no surprise charges.,59,19.85,0
Tech support is not helpful during peak times.,7,89.5,1
Dependents find the network reliable and fast.,1,74.1,0
Online security is a great added feature.,30,107.5,0
Online security is a great added feature.,64,19.55,0
Smooth billing system with paperless convenience.,63,68.8,0
Flexible contracts that fit my lifestyle.,72,84.45,0
Tech support response times are too slow.,8,75.0,1
Online security features meet my needs well.,62,84.5,0
"Helpful tech support, available when needed.",67,111.2,0
Tenure discounts were not applied as promised.,6,44.75,1
Dependents also use the service with no issues.,70,80.6,0
Tech support was very helpful when I needed assistance.,20,80.7,0
Good monthly rates and easy-to-understand billing.,5,75.6,0
Good monthly rates and easy-to-understand billing.,24,57.6,0
Issues with online security features persisting.,11,44.05,1
Enjoying good service quality over the years.,72,110.6,0
Partner and dependents also satisfied with the plan.,66,58.2,0
Flexible contract terms suit my needs perfectly.,45,81.0,0
Tech support has been quick and effective every time.,69,19.7,0
Monthly charges have unexpected increases frequently.,15,85.6,1
Tenure discounts make the service worth it.,28,59.55,0
The billing system is often confusing and inaccurate.,70,115.55,1
Happy with the package offered for my household.,36,75.55,0
Billing statements are often unclear or incorrect.,16,86.6,1
Monthly billing errors are a common occurrence.,18,85.2,1
Frequent network issues during peak usage.,34,97.65,1
Online security features keep my data safe.,42,45.1,0
Online security is a great added feature.,48,70.95,0
Monthly charges are inconsistent and unpredictable.,47,109.55,1
Partner and dependents also dissatisfied with service.,39,89.55,1
Online security features meet my needs well.,11,20.9,0
Tech support has been quick and effective every time.,7,19.95,0
Paperless billing is convenient and eco-friendly.,3,24.6,0
Tech support was very helpful when I needed assistance.,8,66.7,0
Tech support often fails to resolve issues effectively.,1,19.45,1
Online security is a great added feature.,32,94.8,0
Easy setup and reliable network with no drops.,60,65.85,0
Dependents also use the service with no issues.,10,19.95,0
Easy setup and reliable network with no drops.,71,24.65,0
Issues with online security features persisting.,4,20.35,1
Dependents face frequent network drops.,1,69.25,1
I appreciate the flexible contract options.,43,51.25,0
The online security features feel minimal.,59,99.5,1
Partnered plan has been cost-effective and reliable.,23,54.25,0
Reliable monthly charges and no unexpected fees.,72,19.4,0
Tech support has been quick and effective every time.,22,56.25,0
Dependents also use the service with no issues.,1,25.15,0
The partner-friendly plans fit our budget well.,69,23.95,0
Tenure discounts make the service worth it.,50,35.4,0
Frequent outages even after being a long-term customer.,1,25.2,1
Partnered plan lacks sufficient network stability.,2,45.0,1
The tech support team is quick and professional.,15,75.35,0
Smooth billing system with paperless convenience.,31,20.4,0
Tech support often fails to resolve issues effectively.,66,105.0,1
Online security features keep my data safe.,0,56.05,0
Contract renewal terms lack flexibility.,3,54.7,1
Online security is a great added feature.,8,20.0,0
Dependents also use the service with no issues.,64,73.05,0
The support team made the setup process smooth.,28,20.5,0
"Helpful tech support, available when needed.",57,100.75,0
The billing system is often confusing and inaccurate.,14,87.25,1
Online security features meet my needs well.,19,19.95,0
Frequent outages even after being a long-term customer.,10,79.95,1
The partner-friendly plans fit our budget well.,51,49.65,0
Enjoying good service quality over the years.,67,65.65,0
Good monthly rates and easy-to-understand billing.,11,20.45,0
Good monthly rates and easy-to-understand billing.,72,60.95,0
Online security features meet my needs well.,66,20.35,0
Monthly charges are inconsistent and unpredictable.,18,88.35,1
The support team made the setup process smooth.,9,19.5,0
Good monthly rates and easy-to-understand billing.,9,75.2,0
Easy setup and reliable network with no drops.,48,111.45,0
Good monthly rates and easy-to-understand billing.,10,70.15,0
Online security seems inadequate compared to others.,9,94.75,1
The billing system is often confusing and inaccurate.,13,95.05,1
High charges without any added benefits.,4,78.45,1
Contract terms feel rigid and hard to adjust.,4,70.2,1
Tenure discounts made staying with this provider easy.,72,92.0,0
Happy with the consistent service over the years.,51,85.5,0
Support team rarely resolves issues in one call.,59,41.05,1
Paperless billing errors are too common.,10,85.6,1
I appreciate the flexible contract options.,61,82.15,0
Smooth billing system with paperless convenience.,54,84.4,0
The partner-friendly plans fit our budget well.,33,60.9,0
Tenure discounts made staying with this provider easy.,27,20.25,0
Partnered plan lacks sufficient network stability.,1,79.2,1
Happy with the package offered for my household.,23,95.3,0
Online security features meet my needs well.,1,19.85,0
Dependents find the network reliable and fast.,45,84.35,0
Partner and dependents also satisfied with the plan.,39,19.85,0
Online security seems inadequate compared to others.,5,70.0,1
Dependents also use the service with no issues.,72,82.3,0
Dependents also use the service with no issues.,58,66.8,0
Online security is a great added feature.,70,44.6,0
Stable and affordable service throughout my tenure.,61,98.45,0
Happy with the package offered for my household.,2,70.7,0
Monthly charges are reasonable for the service.,46,24.95,0
Paperless billing errors are too common.,1,49.95,1
Partner and dependents also dissatisfied with service.,22,69.25,1
Online security features meet my needs well.,48,102.5,0
Partnered plan has been cost-effective and reliable.,64,86.55,0
Dependents find the network reliable and fast.,72,24.3,0
Enjoying good service quality over the years.,12,58.35,0
Tech support response times are too slow.,34,94.25,1
Online security features keep my data safe.,72,68.75,0
Tenure discounts make the service worth it.,29,85.8,0
Smooth billing system with paperless convenience.,33,20.1,0
Online security is a great added feature.,1,20.35,0
Enjoying affordable rates and stable monthly charges.,62,110.8,0
Tech support is not helpful during peak times.,41,73.0,1
Issues with online security features persisting.,64,100.05,1
"Helpful tech support, available when needed.",4,82.85,0
Paperless billing is convenient and eco-friendly.,24,84.35,0
The tech support team is quick and professional.,14,19.55,0
Tech support has been quick and effective every time.,3,19.95,0
Partnered plan lacks sufficient network stability.,4,99.8,1
Tech support rarely resolves issues promptly.,18,35.0,1
Tech support was very helpful when I needed assistance.,8,66.25,0
"Helpful tech support, available when needed.",35,23.3,0
Monthly charges feel high for the service provided.,1,76.0,1
Billing is seamless with paperless billing.,66,25.3,0
Good monthly rates and easy-to-understand billing.,8,44.55,0
Monthly charges are reasonable for the service.,71,104.1,0
The tech support team is quick and professional.,43,92.55,0
Frequent contract changes without notice.,2,93.85,1
Happy with the consistent service over the years.,29,101.45,0
Billing statements are often unclear or incorrect.,15,84.3,1
Easy setup and reliable network with no drops.,65,94.55,0
Partner and dependents also satisfied with the plan.,35,95.5,0
Dependents find the network reliable and fast.,64,100.3,0
Enjoying good service quality over the years.,58,55.5,0
The support team made the setup process smooth.,18,49.85,0
The support team made the setup process smooth.,67,89.55,0
Billing is seamless with paperless billing.,63,19.15,0
Smooth billing system with paperless convenience.,60,99.8,0
Billing statements are often unclear or incorrect.,9,84.4,1
Great service with no interruptions during my tenure.,70,113.05,0
Service quality drops significantly during peak hours.,15,101.1,1
Satisfied with the support offered by tech specialists.,48,19.95,0
Reliable monthly charges and no unexpected fees.,12,74.15,0
Flexible contract terms suit my needs perfectly.,71,92.0,0
Satisfied with the support offered by tech specialists.,44,73.85,0
Monthly billing errors are a common occurrence.,1,50.45,1
Online security features have given me peace of mind.,45,24.45,0
Satisfied with the support offered by tech specialists.,23,24.8,0
Reliable monthly charges and no unexpected fees.,43,64.85,0
Happy with the consistent service over the years.,35,20.75,0
Good monthly rates and easy-to-understand billing.,9,68.95,0
Support team rarely resolves issues in one call.,12,99.95,1
Online security features have given me peace of mind.,65,109.4,0
Partnered plan lacks sufficient network stability.,2,91.4,1
Tenure discounts make the service worth it.,27,49.0,0
The tech support team is quick and professional.,40,50.25,0
Billing statements are often unclear or incorrect.,5,75.55,1
I appreciate the flexible contract options.,8,19.9,0
The support team made the setup process smooth.,58,97.8,0
Tenure discounts made staying with this provider easy.,52,100.3,0
Online security features keep my data safe.,3,55.8,0
Online security features keep my data safe.,41,111.15,0
Reliable monthly charges and no unexpected fees.,20,98.55,0
"Helpful tech support, available when needed.",1,50.05,0
Monthly charges have unexpected increases frequently.,4,80.8,1
Reliable monthly charges and no unexpected fees.,23,20.85,0
Smooth billing system with paperless convenience.,6,19.5,0
Good monthly rates and easy-to-understand billing.,8,19.35,0
Good monthly rates and easy-to-understand billing.,18,69.5,0
Satisfied with the support offered by tech specialists.,52,48.8,0
Partner and dependents also satisfied with the plan.,31,94.5,0
Online security features meet my needs well.,29,20.65,0
Paperless billing is convenient and eco-friendly.,36,106.05,0
Partner and dependents also dissatisfied with service.,16,100.0,1
Dependents find the network reliable and fast.,42,108.3,0
High charges without any added benefits.,1,20.55,1
Monthly charges are reasonable for the service.,60,99.65,0
Dependents complain of frequent disconnections.,5,85.3,1
Tenure discounts make the service worth it.,22,95.9,0
Tenure discounts make the service worth it.,36,20.0,0
Dependents report frequent service interruptions.,4,70.4,1
Clear billing process with no surprise charges.,9,64.95,0
Tech support was very helpful when I needed assistance.,1,74.6,0
The tech support team is quick and professional.,12,49.2,0
Happy with the consistent service over the years.,23,73.75,0
Smooth billing system with paperless convenience.,62,92.3,0
Service quality drops significantly during peak hours.,37,98.8,1
Flexible contracts that fit my lifestyle.,8,19.2,0
I appreciate the flexible contract options.,31,88.65,0
Partner and dependents also dissatisfied with service.,13,74.4,1
Monthly charges are inconsistent and unpredictable.,24,98.75,1
Tenure discounts made staying with this provider easy.,45,95.95,0
I appreciate the flexible contract options.,69,105.4,0
"Helpful tech support, available when needed.",2,20.25,0
Service quality drops significantly during peak hours.,61,106.0,1
The billing system is often confusing and inaccurate.,41,104.7,1
The partner-friendly plans fit our budget well.,44,49.05,0
I appreciate the flexible contract options.,39,35.55,0
Great experience with minimal downtime.,72,65.1,0
Partner and dependents also satisfied with the plan.,13,96.85,0
Reliable monthly charges and no unexpected fees.,51,69.75,0
Tech support has been quick and effective every time.,71,99.2,0
Contract renewal terms lack flexibility.,22,96.7,1
Online security lags compared to competitors.,2,55.05,1
Partner and dependents also satisfied with the plan.,56,106.8,0
Tenure discounts make the service worth it.,1,51.25,0
Great experience with minimal downtime.,23,57.75,0
Tenure discounts make the service worth it.,66,70.85,0
Tech support rarely resolves issues promptly.,19,88.2,1
Tech support was very helpful when I needed assistance.,11,79.5,0
Frequent contract changes without notice.,8,19.75,1
Monthly charges are reasonable for the service.,52,98.15,0
Billing is seamless with paperless billing.,3,20.25,0
Happy with the package offered for my household.,51,79.15,0
Frequent contract changes without notice.,15,75.65,1
The partner-friendly plans fit our budget well.,64,94.25,0
"Helpful tech support, available when needed.",37,40.2,0
Dependents also use the service with no issues.,13,19.95,0
Enjoying affordable rates and stable monthly charges.,49,55.35,0
Stable and affordable service throughout my tenure.,45,102.15,0
Dependents find the network reliable and fast.,18,71.1,0
Tenure discounts were not applied as promised.,1,74.7,1
Good monthly rates and easy-to-understand billing.,68,54.1,0
Flexible contracts that fit my lifestyle.,54,19.65,0
Online security features meet my needs well.,23,88.45,0
Frequent network issues during peak usage.,17,76.65,1
Partnered plan has been cost-effective and reliable.,71,80.4,0
The tech support team is quick and professional.,67,19.25,0
Monthly charges are reasonable for the service.,14,84.8,0
Partnered plan lacks sufficient network stability.,1,25.8,1
Online security is a great added feature.,63,19.5,0
Smooth billing system with paperless convenience.,41,68.6,0
Online security is a great added feature.,17,92.6,0
I appreciate the flexible contract options.,56,100.55,0
Great experience with minimal downtime.,5,20.55,0
Dependents face frequent network drops.,2,42.6,1
Stable and affordable service throughout my tenure.,3,19.6,0
Online security is a great added feature.,37,67.45,0
Partnered plan lacks sufficient network stability.,29,68.85,1
Great experience with minimal downtime.,8,43.55,0
The support team made the setup process smooth.,63,109.85,0
Tenure discounts made staying with this provider easy.,7,20.65,0
Stable and affordable service throughout my tenure.,3,95.4,0
Stable and affordable service throughout my tenure.,72,21.0,0
Tech support was very helpful when I needed assistance.,19,56.2,0
Satisfied with the support offered by tech specialists.,59,18.4,0
Partnered plan does not seem cost-effective anymore.,2,90.0,1
Billing is seamless with paperless billing.,35,25.75,0
Happy with the package offered for my household.,14,19.6,0
Service quality drops significantly during peak hours.,14,75.35,1
Stable and affordable service throughout my tenure.,69,19.8,0
Happy with the package offered for my household.,7,64.2,0
Good monthly rates and easy-to-understand billing.,69,75.75,0
Flexible contracts that fit my lifestyle.,72,78.95,0
Contract terms do not accommodate long-term customers.,8,100.85,1
Happy with the package offered for my household.,4,50.3,0
I appreciate the flexible contract options.,63,80.3,0
Online security features keep my data safe.,72,19.85,0
Monthly charges are reasonable for the service.,46,21.1,0
Service quality drops significantly during peak hours.,5,69.95,1
Great experience with minimal downtime.,30,50.0,0
Monthly charges are reasonable for the service.,63,104.75,0
Partner and dependents also satisfied with the plan.,60,19.85,0
Paperless billing fails to capture accurate details.,63,107.5,1
Online security is a great added feature.,25,85.9,0
